BARCODE,ITEMID,STOREID,ORIGINAL_PRICE,CURRENT_PRICE,QTY_MARKDOWN,QTY_ON_HAND
5000128822152,2404703,100203,3.59,3.23,42,1
5000128783279,2278758,100781,3.59,3.23,43,1
5051562019509,1230658,104309,3.59,3.23,44,1
5000128691581,241211,100735,3.59,3.23,48,1
5000129361612,2849055,100129,3.59,3.23,54,1
4897004061429,43651,100930,3.59,3.23,55,1
5098807041659,43156,100767,3.59,3.23,59,1
296710303791,2922593,100733,3.59,3.23,63,1
296710304701,2922593,100314,3.59,3.23,65,1
96147450,2555319,100258,3.59,3.23,67,1
50128846,958130,100243,3.59,3.23,68,1
5000129330540,2706273,100266,3.59,3.23,68,1
5000129291063,2499163,100372,3.59,3.23,69,1
5000129347722,2797803,100418,3.59,3.23,69,1
50849871,2097365,100375,3.59,3.23,70,1
5010044000275,250880,100374,3.59,3.23,67,1
39609519,250880,100409,3.59,3.23,68,1
39609458,2177993,100350,3.59,3.23,68,1
5000128651653,2177993,100924,3.59,3.23,69,1
39609434,2849055,100411,3.59,3.23,69,1
5000129341034,2745906,100251,3.59,3.23,70,1
5060166690007,490970,100203,3.59,3.23,42,1
5000129300611,2551982,100781,3.59,3.23,43,1
5060655452062,2731924,104309,3.59,3.23,44,1
5000157024855,62587,100735,3.59,3.23,48,1
5000129355239,2881101,100129,3.59,3.23,54,1
5000129361629,2849040,100930,3.59,3.23,55,1
200026003249,2345538,100767,3.59,3.23,59,1
200612003295,2304705,100733,3.59,3.23,63,1
298369016255,292577,100314,3.59,3.23,65,1
5449000131805,1937481,100258,3.59,3.23,67,1
5011403997670,87679,100243,3.59,3.23,68,1
3178530407983,1888531,100266,3.59,3.23,68,1
5014067153833,2876719,100372,3.59,3.23,69,1
39608888,2119985,100418,3.59,3.23,69,1
5000128967273,2119985,100375,3.59,3.23,70,1
39608864,2680324,100203,3.59,3.23,42,1
5000221606789,2680324,100781,3.59,3.23,43,1
5038862104302,2503525,104309,3.59,3.23,44,1
39608833,2380295,100735,3.59,3.23,48,1
39608826,2380295,100129,3.59,3.23,54,1
5000128763844,2380295,100930,3.59,3.23,55,1
5000129361766,2849050,100767,3.59,3.23,59,1
5000129357165,2834033,100733,3.59,3.23,63,1
39236739,1230658,100314,3.59,3.23,65,1
39236722,1230658,100258,3.59,3.23,67,1
5060140900122,1491038,100243,3.59,3.23,68,1
50129539,2155424,100266,3.59,3.23,68,1
5010549301235,113950,100372,3.59,3.23,69,1
5000128967266,2119965,100418,3.59,3.23,69,1
5010153870349,2268104,100375,3.59,3.23,70,1
54491496,336632,100374,3.59,3.23,67,1
5000128941792,1847762,100409,3.59,3.23,68,1
5000129365955,2851332,100350,3.59,3.23,68,1
5000129356342,2832648,100924,3.59,3.23,69,1
5000128941839,1847662,100411,3.59,3.23,69,1
5000128864589,1409793,100251,3.59,3.23,70,1
5014201800999,2733652,100203,3.59,3.23,42,1
39608413,1258843,100781,3.59,3.23,43,1
5000157078803,2224566,104309,3.59,3.23,44,1
5000171057709,2242728,100735,3.59,3.23,48,1
5000128863988,1258843,100129,3.59,3.23,54,1
5000246726011,2177309,100930,3.59,3.23,55,1
87170788,325877,100767,3.59,3.23,59,1
5000129366037,2851327,100733,3.59,3.23,63,1
5000128590525,2085746,100314,3.59,3.23,65,1
39608161,1733706,100258,3.59,3.23,67,1
39608147,1733706,100243,3.59,3.23,68,1
5000128659628,2190245,100266,3.59,3.23,68,1
5000128899505,1733706,100372,3.59,3.23,69,1
5000128581042,115561,100418,3.59,3.23,69,1
5000128648738,2269626,100375,3.59,3.23,70,1
4060800134592,617358,100203,3.59,3.23,42,1
5060014511669,2896068,100781,3.59,3.23,43,1
4251097419244,2825965,104309,3.59,3.23,44,1
5000129372694,2886483,100735,3.59,3.23,48,1
5000129347579,2797813,100129,3.59,3.23,54,1
5060088702307,2242605,100930,3.59,3.23,55,1
5034660021537,226946,100767,3.59,3.23,59,1
39607478,336632,100733,3.59,3.23,63,1
5000221508076,1965285,100314,3.59,3.23,65,1
50201600,256766,100258,3.59,3.23,67,1
5000128729475,294413,100243,3.59,3.23,68,1
5000128766647,2390245,100266,3.59,3.23,68,1
5000129356946,2834023,100372,3.59,3.23,69,1
5000129357097,2834028,100418,3.59,3.23,69,1
298360013116,292577,100375,3.59,3.23,70,1
5000128700351,299084,100374,3.59,3.23,67,1
5000128700375,58456,100409,3.59,3.23,68,1
39606501,58456,100350,3.59,3.23,68,1
39606495,58456,100924,3.59,3.23,69,1
5021319002917,89290,100411,3.59,3.23,69,1
5070000120706,2746285,100251,3.59,3.23,70,1
5020628002618,2652206,100203,3.59,3.23,42,1
3495566978653,2870369,100781,3.59,3.23,43,1
5011579450085,463242,104309,3.59,3.23,44,1
39236029,1230658,100735,3.59,3.23,48,1
5025183052290,1878721,100129,3.59,3.23,54,1
5025183062916,2111525,100930,3.59,3.23,55,1
5000128797986,2293732,100767,3.59,3.23,59,1
5000129349184,2820016,100733,3.59,3.23,63,1
5037435005800,2820124,100314,3.59,3.23,65,1
5000129348514,2804133,100258,3.59,3.23,67,1
5000129366839,2863873,100243,3.59,3.23,68,1
5000129348583,2804157,100266,3.59,3.23,68,1
5000129348439,2804151,100372,3.59,3.23,69,1
5000129348453,2804145,100418,3.59,3.23,69,1
5055115878513,2877904,100375,3.59,3.23,70,1
5055115878476,2877889,100203,3.59,3.23,42,1
5055115878506,2877884,100781,3.59,3.23,43,1
5055115878469,2877899,104309,3.59,3.23,44,1
5055115878490,2877894,100735,3.59,3.23,48,1
5055115878964,2877919,100129,3.59,3.23,54,1
5000128948548,1891331,100930,3.59,3.23,55,1
5000128816540,2400162,100767,3.59,3.23,59,1
5000128779388,2376931,100733,3.59,3.23,63,1
5000129344226,2755808,100314,3.59,3.23,65,1
5000129354683,2832082,100258,3.59,3.23,67,1
5000129340129,2744842,100243,3.59,3.23,68,1
5000129340051,2744832,100266,3.59,3.23,68,1
5000128698238,2369635,100372,3.59,3.23,69,1
5000128727457,2255397,100418,3.59,3.23,69,1
5000129321968,2652690,100375,3.59,3.23,70,1
5000129321784,2652740,100374,3.59,3.23,67,1
5000129321654,2652750,100409,3.59,3.23,68,1
5000129375176,2877390,100350,3.59,3.23,68,1
5000128941693,1842542,100924,3.59,3.23,69,1
5000128755023,71326,100411,3.59,3.23,69,1
5000129351972,2820638,100251,3.59,3.23,70,1
5000128909792,1765394,100203,3.59,3.23,42,1
5010044002552,227513,100781,3.59,3.23,43,1
5010044003955,2293726,104309,3.59,3.23,44,1
5010044000404,73846,100735,3.59,3.23,48,1
5010044008622,2404537,100129,3.59,3.23,54,1
5010044000312,73819,100930,3.59,3.23,55,1
5010044002378,228359,100767,3.59,3.23,59,1
5010044000251,234452,100733,3.59,3.23,63,1
5010044010779,2870359,100314,3.59,3.23,65,1
5000128967242,2120005,100258,3.59,3.23,67,1
5010044002309,234434,100243,3.59,3.23,68,1
5010044003559,551088,100266,3.59,3.23,68,1
5023528000036,1301218,100372,3.59,3.23,69,1
5010044010137,2731367,100418,3.59,3.23,69,1
5010044004679,1811778,100375,3.59,3.23,70,1
5010044010038,2712464,100203,3.59,3.23,42,1
5000128942577,1828687,100781,3.59,3.23,43,1
5010044002316,228242,104309,3.59,3.23,44,1
5010044000305,70660,100735,3.59,3.23,48,1
5000128042369,251222,100129,3.59,3.23,54,1
5010044004112,927458,100930,3.59,3.23,55,1
5010044008615,2404532,100767,3.59,3.23,59,1
5000128611589,2395863,100733,3.59,3.23,63,1
5055115878957,2877914,100314,3.59,3.23,65,1
5000129321197,2652685,100258,3.59,3.23,67,1
5000129321616,2652670,100243,3.59,3.23,68,1
5000129321555,2652760,100266,3.59,3.23,68,1
5000129344233,2755813,100372,3.59,3.23,69,1
5000128906784,1746998,100418,3.59,3.23,69,1
5000128639569,399047,100375,3.59,3.23,70,1
5000129333398,2716617,100374,3.59,3.23,67,1
5037435002335,2381393,100409,3.59,3.23,68,1
5060460300114,2335132,100350,3.59,3.23,68,1
5000129372670,2872850,100924,3.59,3.23,69,1
5000128834810,2318148,100411,3.59,3.23,69,1
50404094,2173751,100251,3.59,3.23,70,1
5000128980630,1963209,100203,3.59,3.23,42,1
5037993042002,1730703,100781,3.59,3.23,43,1
5000187106101,546758,104309,3.59,3.23,44,1
5000129365689,2852368,100735,3.59,3.23,48,1
5000129354393,2833988,100129,3.59,3.23,54,1
5034231004297,2318616,100930,3.59,3.23,55,1
5060084340237,257531,100767,3.59,3.23,59,1
5000129347920,2796908,100733,3.59,3.23,63,1
8720182685124,2832046,100314,3.59,3.23,65,1
5056297000907,2877410,100258,3.59,3.23,67,1
5000129360608,2844842,100243,3.59,3.23,68,1
5000129297331,2552346,100266,3.59,3.23,68,1
5000128762250,2281315,100372,3.59,3.23,69,1
5010718289012,465212,100418,3.59,3.23,69,1
5000129376050,2878971,100375,3.59,3.23,70,1
5060136251719,2188769,100203,3.59,3.23,42,1
5000128824781,2307434,100781,3.59,3.23,43,1
4025500294748,2882495,104309,3.59,3.23,44,1
39604064,1374818,100735,3.59,3.23,48,1
39604071,1374798,100129,3.59,3.23,54,1
4025500294762,2882500,100930,3.59,3.23,55,1
5000129356670,2835721,100767,3.59,3.23,59,1
5000129341089,2772579,100733,3.59,3.23,63,1
5022235003057,2880908,100314,3.59,3.23,65,1
5000128783514,2278636,100258,3.59,3.23,67,1
5000128966429,1953026,100243,3.59,3.23,68,1
5022235003071,2870381,100266,3.59,3.23,68,1
5000129355444,2844089,100372,3.59,3.23,69,1
5000129362954,2849075,100418,3.59,3.23,69,1
5000129359565,2842324,100375,3.59,3.23,70,1
5029872023905,2865917,100374,3.59,3.23,67,1
5056297000761,2843171,100409,3.59,3.23,68,1
5000128283793,87499,100350,3.59,3.23,68,1
5000129331141,2716234,100924,3.59,3.23,69,1
5000128989367,2154345,100411,3.59,3.23,69,1
5000129328653,2680652,100251,3.59,3.23,70,1
5000129341058,2745580,100203,3.59,3.23,42,1
5010718306306,1731867,100781,3.59,3.23,43,1
5000128782838,424198,104309,3.59,3.23,44,1
5000128717762,2250168,100735,3.59,3.23,48,1
5000129330328,2680396,100129,3.59,3.23,54,1
5000129361964,2849065,100930,3.59,3.23,55,1
5000128795944,2404572,100767,3.59,3.23,59,1
5010044009650,2730423,100733,3.59,3.23,63,1
5010044006529,2162745,100314,3.59,3.23,65,1
5000129324051,2699593,100258,3.59,3.23,67,1
5010044009162,2379586,100243,3.59,3.23,68,1
5000221608981,2858527,100266,3.59,3.23,68,1
5000128605113,325913,100372,3.59,3.23,69,1
5000128861069,1374798,100418,3.59,3.23,69,1
5000128861083,1374818,100375,3.59,3.23,70,1
5037435005770,2843231,100203,3.59,3.23,42,1
5000128701594,2248190,100781,3.59,3.23,43,1
5000168140223,119215,104309,3.59,3.23,44,1
4100130924002,55576,100735,3.59,3.23,48,1
5000347063282,219629,100129,3.59,3.23,54,1
39235107,58456,100930,3.59,3.23,55,1
39235091,58456,100767,3.59,3.23,59,1
39234940,1230658,100733,3.59,3.23,63,1
39234957,1230658,100314,3.59,3.23,65,1
39234759,88255,100258,3.59,3.23,67,1
39234742,88255,100243,3.59,3.23,68,1
5011038133450,88255,100266,3.59,3.23,68,1
3574660446739,535246,100372,3.59,3.23,69,1
298360000000,292577,100418,3.59,3.23,69,1
39234643,58456,100375,3.59,3.23,70,1
39234636,58456,100374,3.59,3.23,67,1
5000347029516,651022,100409,3.59,3.23,68,1
39234414,41608,100350,3.59,3.23,68,1
39234377,41608,100924,3.59,3.23,69,1
5000225021496,41608,100411,3.59,3.23,69,1
5000128078139,86167,100251,3.59,3.23,70,1
39234346,86167,100203,3.59,3.23,42,1
39234339,86167,100781,3.59,3.23,43,1
5000128078153,86140,104309,3.59,3.23,44,1
50129003,2185014,100735,3.59,3.23,48,1
5449000121134,1857062,100129,3.59,3.23,54,1
5017977221173,137215,100930,3.59,3.23,55,1
5000318004887,90433,100767,3.59,3.23,59,1
50107223,71884,100733,3.59,3.23,63,1
5390003004019,45262,100314,3.59,3.23,65,1
5050083314988,88345,100258,3.59,3.23,67,1
5010848000167,80020,100243,3.59,3.23,68,1
5000128451086,66808,100266,3.59,3.23,68,1
37600167185,60931,100372,3.59,3.23,69,1
5010663801635,214463,100418,3.59,3.23,69,1
40111445,257324,100375,3.59,3.23,70,1
5000128754606,56548,100375,3.59,3.23,70,1
