BARCODE,ITEM_ID,STOREID,ORIGINAL_PRICE,CURRENT_PRICE,QTY_MARKDOWN,QTY_ON_HAND
1003022308490,12539511,426,3.59,3.23,42,1
1003209340101,3014557,431,3.59,3.23,43,1
1003209340102,3014568,446,3.59,3.23,44,1
1003209340105,3545509,487,3.59,3.23,48,1
1003209340106,3545502,54,3.59,3.23,54,1
1003209340201,3014573,556,3.59,3.23,55,1
1003209340202,3014564,599,3.59,3.23,59,1
1003209340203,3014579,630,3.59,3.23,63,1
1003209340204,3014576,658,3.59,3.23,65,1
1003209340205,3014565,678,3.59,3.23,67,1
1003209340206,3014581,686,3.59,3.23,68,1
1003209340207,3014537,687,3.59,3.23,68,1
1003209340208,3014524,69,3.59,3.23,69,1
1003209340213,3538026,698,3.59,3.23,69,1
1003209340214,3538022,709,3.59,3.23,70,1
1003209340215,3538020,720,3.59,3.23,72,1
1003209340216,3538016,724,3.59,3.23,72,1
1003209340301,3014525,728,3.59,3.23,72,1
1003209340302,3014552,732,3.59,3.23,73,1
1003209340303,3014577,738,3.59,3.23,73,1
1003209340304,3014522,749,3.59,3.23,74,1
1003209340305,3014530,756,3.59,3.23,75,1
1003209340314,3538015,759,3.59,3.23,75,1
1003209340315,3538013,765,3.59,3.23,76,1
1003209340316,3538011,768,3.59,3.23,76,1
1003209340317,3538007,780,3.59,3.23,78,1
1003209340402,3014548,785,3.59,3.23,78,1
1003209340403,3537719,789,3.59,3.23,78,1
1003209340501,3014562,790,3.59,3.23,79,1
1003209340502,3582604,794,3.59,3.23,79,1
1003209340601,3014540,796,3.59,3.23,79,1
1003209340602,3545107,798,3.59,3.23,79,1
1003209340702,3014544,94,3.59,3.23,94,1
1003209340703,3545106,29,7.5,6.75,29,1
1003209341001,3014566,426,7.5,6.75,42,1
1003209341002,3545104,431,7.5,6.75,43,1
1003209341701,2756521,446,7.5,6.75,44,1
1003209370010,1979978,487,7.5,6.75,48,1
1003209370011,1979855,54,7.5,6.75,54,1
1003209370351,2168524,556,7.5,6.75,55,1
1003209370400,1979835,599,7.5,6.75,59,1
1003209370401,1979848,630,7.5,6.75,63,1
1003209370402,1979834,658,7.5,6.75,65,1
1003209370403,1979856,678,7.5,6.75,67,1
1003209370408,2172719,686,7.5,6.75,68,1
1003209370451,2168086,687,7.5,6.75,68,1
1003209371304,1979853,69,7.5,6.75,69,1
1003209371305,1979847,698,7.5,6.75,69,1
1003209371306,1979846,709,7.5,6.75,70,1
1003209371307,1979868,720,7.5,6.75,72,1
1003209371308,2076427,724,7.5,6.75,72,1
1003209371309,2076425,728,7.5,6.75,72,1
1003209371310,2193734,732,7.5,6.75,73,1
1003209371315,1979862,738,7.5,6.75,73,1
1003209371316,1979851,749,7.5,6.75,74,1
1003209371343,1979860,756,7.5,6.75,75,1
1003209371359,2172714,759,7.5,6.75,75,1
1003209371363,1979850,765,7.5,6.75,76,1
1003209371456,1979845,768,7.5,6.75,76,1
1003209374471,3870537,780,7.5,6.75,78,1
1003485617551,2498511,785,7.5,6.75,78,1
1003507401071,2203978,789,7.5,6.75,78,1
1003900004516,2082593,790,7.5,6.75,79,1
1003967736806,1538508,794,7.5,6.75,79,1
1003998204058,4524160,796,7.5,6.75,79,1
1004122032000,6205522,798,7.5,6.75,79,1
1004122032116,1790057,94,7.5,6.75,94,1
1004122032502,1792606,29,7.5,6.75,29,1
1004122032505,1792600,426,7.5,6.75,42,1
1004122032508,1792601,431,7.5,6.75,43,1
1004122099000,6205513,446,7.5,6.75,44,1
1004131304728,5079114,487,7.5,6.75,48,1
1004306215,445046,54,7.5,6.75,54,1
1004370101426,2114114,556,7.5,6.75,55,1
1004370101430,2109638,599,7.5,6.75,59,1
1004400007092,5710006,630,7.5,6.75,63,1
1004555788886,9514508,658,7.5,6.75,65,1
1004710411913,14419523,678,7.5,6.75,67,1
1004980000671,2017226,686,7.5,6.75,68,1
1005200032481,2143805,687,7.5,6.75,68,1
1005200032867,2143806,69,7.5,6.75,69,1
1005610604,3790045,698,7.5,6.75,69,1
1005620515,6299074,709,7.5,6.75,70,1
1005620615,6299072,720,7.5,6.75,72,1
1005622415,6299069,724,7.5,6.75,72,1
1007001797692,3757080,728,7.5,6.75,72,1
1007120202020,9951555,732,7.5,6.75,73,1
1007127030482,1718511,738,7.5,6.75,73,1
1007144308941,1787139,749,7.5,6.75,74,1
1007144308946,1603922,756,7.5,6.75,75,1
1007144308948,1603911,759,7.5,6.75,75,1
1007144308955,1787134,765,7.5,6.75,76,1
1007144308971,1787133,768,7.5,6.75,76,1
1007144309001,1603925,780,7.5,6.75,78,1
1007144309121,1603923,785,7.5,6.75,78,1
1007144309126,1603920,789,7.5,6.75,78,1
1007144309135,1603921,790,7.5,6.75,79,1
1007144309241,1603900,794,7.5,6.75,79,1
1007144309246,1603898,796,7.5,6.75,79,1
1007144323367,1795266,798,7.5,6.75,79,1
1007236800491,1578631,94,7.5,6.75,94,1
1007236800506,1578642,29,9,8.1,29,1
1007236800549,1578630,426,9,8.1,42,1
1007236800551,1578632,431,9,8.1,43,1
1007236800553,1578636,446,9,8.1,44,1
1007236800556,1578638,487,9,8.1,48,1
1007236800566,1578647,54,9,8.1,54,1
1007236800718,1578633,556,9,8.1,55,1
1007236800734,1578646,599,9,8.1,59,1
1007307358947,11452025,630,9,8.1,63,1
1007317041707,6255520,658,9,8.1,65,1
