STOREID,BARCODE,QTY_MARKDOWN,CURRENT_PRICE,ORIGINAL_PRICE
A448,0612322001841,16,0.99,0.99
A221,9771479230342,23,2.5,2.5
A849,5060517883034,16,0.99,0.99
A256,8714100536209,4,1.19,1.19
A698,8700216874762,22,2.65,2.65
A693,0000013456269,19,7,7
A943,0000010464496,24,0.99,0.99
A452,0000010326558,24,8,8
A629,7613287899002,16,0.79,0.79
A214,5054267012905,21,2.35,2.35
A769,0000010444160,14,3.99,3.99
A663,8001090476142,17,1.49,1.49
A805,8714100535516,2,1.19,1.19
A778,9770262304536,18,1.2,1.2
A403,5038581038957,22,0.79,0.79
A615,9771756625830,3,4.99,4.99
A245,5011309131215,7,2.49,2.49
A11,9770262304062,18,1.2,1.2
A302,8714800024891,5,1.79,1.79
A19,5034934827292,23,0.69,0.69
A208,4000539363108,24,0.89,0.89
A398,5021956001144,16,6.99,6.99
A879,9771741340137,25,2.15,2.15
A761,5057566125857,7,1.69,1.69
A930,0077975096611,14,1.39,1.39
A834,9772752615023,6,5.5,5.5
A760,5061017271444,5,0.79,0.79
A784,5018970095945,16,0.89,0.89
A743,0049000014242,19,1.09,1.09
A8448,5055918654369,24,2.59,2.59
A304,5099556026188,17,1.25,1.25
A410,5060018880174,13,2.99,2.99
A479,0000010521342,24,1.99,1.99
A73,5000325053922,23,2.49,2.49
A41,5059319035864,2,2.29,2.29
A649,0000010462966,25,3.5,3.5
A118,9770262026919,5,2.75,2.75
A746,9770961878017,6,1.2,1.2
A192,0000010519530,6,9.99,9.99
A765,5060772367843,22,2.99,2.99
A613,9772752615979,8,5.5,5.5
A136,0000010434086,1,7,7
A196,7613038683959,9,5.79,5.79
A741,0000010515051,23,19.99,19.99
A402,9772051886124,10,2,2
A221,0000013341435,13,1,1
A715,5060896623702,9,0.79,0.79
A8563,5056784900338,9,1.49,1.49
A683,5060166690069,18,0.89,0.89
A249,0000010381649,18,1.49,1.49
A310,5010029229202,7,2.79,2.79
A290,5010153753215,4,2.59,2.59
A210,9771352688475,21,2.9,2.9
