BarCode,STOREID,ORIGINAL_PRICE,CURRENT_PRICE,QTY_MARKDOWN
5000234053983,586,0.5,0.5,4
5000171061805,378,2.5,2.5,4
5449000673039,517,2.65,2.65,17
4000856090831,694,1.22,1.22,2
96122983,993,1.5,1.5,15
5010482876340,149,2,2,4
5099483615547,1555,1,1,7
5010482196974,442,4.25,4.25,18
5021956001168,125,5.4,5.4,9
5390494003409,401,1.75,1.75,22
5010482339555,1662,4.5,4.5,22
8711000852811,1768,4.99,4.99,10
24000101673,806,1.2,1.2,3
5011157888156,1234,1,1,25
5060222787610,604,1.25,1.25,25
5014348220384,361,0.5,0.5,12
5900852925276,651,1,1,14
5000128728416,720,0.65,0.65,25
5010482859060,1690,8,8,18
5000378998416,371,1.75,1.75,3
8712000054755,1677,2.99,2.99,18
5010801008049,1283,2.6,2.6,10
8712113555866,792,4,4,20
5011096010533,840,2.5,2.5,12
5056462344348,448,20,20,17
5035822606913,458,9.99,9.99,3
788821015143,142,1,1,18
5010103943574,697,29.99,29.99,18
8006540418109,1435,12,12,21
5018156005577,329,1,1,5
5060123600094,578,1.25,1.25,14
5010482636791,74,2.5,2.5,24
8054134420601,878,1.25,1.25,16
5056170383387,141,1,1,13
72417144592,728,1.15,1.15,2
5010228005690,1701,0.5,0.5,10
5055192604814,1772,7,7,15
5018605933604,472,3.5,3.5,22
5027951008072,1612,2,2,17
5010482954659,1672,1,1,3
5018605616118,219,4.5,4.5,19
5010482831684,1537,4,4,18
5031470163686,1635,1,1,20
5027439104951,207,2,2,20
50226962,1461,1,1,25
8700216315906,261,6.13,6.13,13
5000168114545,171,1.12,1.12,21
5060072990307,572,2,2,23
5390854001496,123,1.65,1.65,5
5025659604473,777,0.75,0.75,22
5018605002775,1404,1,1,21
5056283844256,60,2,2,3
5010482260460,675,1,1,24
5011166058090,18,19.99,19.99,10
5010482759452,1701,2,2,16
5010482220723,254,3.5,3.5,9
5000354160936,641,1,1,14
5010482859657,1222,2,2,11
9772059005947,648,0.82,0.82,22
5010482781361,119,8,8,18
5010482318871,547,2,2,9
5010482618919,591,3,3,20
5010975075168,1528,2,2,5
9417986941783,1517,1,1,5
5060100300580,1566,2.25,2.25,23
5000143920215,764,11.31,11.31,17
5030039008956,662,4,4,20
5010482915551,373,6,6,4
7613287434609,1678,0.6,0.6,23
7613287619488,191,2.25,2.25,3
5054267009011,800,3,3,21
5010482816827,334,0.75,0.75,15
8023788039651,1360,1.99,1.99,22
5010482391409,22,4,4,1
5010482288358,676,2.5,2.5,22
5057624898662,814,2,2,19
3162330500043,314,1.99,1.99,2
5010482338206,1599,2,2,8
7622210679055,1211,1,1,13
5010482789145,737,1,1,3
850031700697,808,1,1,3
5010482910198,46,3.75,3.75,3
7311100441901,186,9.99,9.99,15
5010482793654,1595,0.01,0.01,23
5010482694111,1338,0.75,0.75,14
5035766063377,553,6.5,6.5,6
5201360112166,1777,1,1,2
5449000060495,1525,3.5,3.5,16
5000143949025,235,7.55,7.55,11
3073781143379,1238,2,2,12
5099338024937,612,2.5,2.5,3
5740900404540,928,4.75,4.75,21
7630040400695,788,14.99,14.99,1
5010482884697,808,2.25,2.25,15
5010067316650,601,2.5,2.5,16
4002359040146,432,2.5,2.5,17
5026489480183,281,3,3,12
5000171050939,290,2.2,2.2,23
5010482913120,1806,25,25,23
5010482255497,1205,4,4,16
5000234050609,583,0.5,0.5,2
5010102112414,1795,1.53,1.53,19
5902379721836,544,1,1,1
7622210443144,1580,2,2,23
5010482895686,1233,1,1,14
5015934329047,194,5.99,5.99,8
5010482927233,1275,1.5,1.5,8
7804407004776,1289,5.07,5.07,8
630996284049,675,6.99,6.99,11
5060414330099,536,2,2,4
5010482813710,186,4.5,4.5,2
