STOREID,ITEMID,ITEMGROUPID,QTY_MARKDOWN,CURRENT_PRICE,ORIGINAL_PRICE
70600272,0020449500000,15,1,7.91,7.91
70300067,0089520300116,57,3,5.99,5.99
70400379,0001111090282,40,1,4.00,4.00
03400373,0001111064354,40,1,5.00,5.00
03400342,0001111064611,40,1,3.00,3.00
70300281,0001111091130,57,1,5.99,5.99
70500841,0028711240000,56,1,4.50,4.50
62000122,0003022311655,56,1,6.49,6.49
02600508,0003022311632,56,1,6.00,6.00
66000129,0081794401000,55,6,10.99,10.99
53400392,0003597135902,57,6,2.49,2.49
70300026,0001111091040,57,1,2.00,2.00
02500355,0001111091038,57,1,3.79,3.79
70300683,0002414900002,57,5,4.99,4.99
70300097,0001111097972,9,3,16.99,16.99
70600315,0001111063063,57,4,6.00,6.00
02500497,0001111091049,57,2,2.99,2.99
70400316,0081000687207,1,1,1.67,1.67
70600439,0003022311315,57,3,3.49,3.49
70400321,0001111009585,75,1,2.79,2.79
53400857,0001111063445,54,3,10.00,10.00
02500483,0001111062874,10,6,6.99,6.99
70300683,0022484200000,57,1,7.99,7.99
66000018,0003022311234,57,3,3.29,3.29
70500811,0024661510000,73,1,8.90,8.90
03500561,0004157309221,40,1,8.99,8.99
70500212,0005399701512,9,1,9.49,9.49
70100071,0001111096896,9,1,8.49,8.49
61500066,0001111003119,57,8,2.00,2.00
70100652,0084013430944,73,2,8.49,8.49
53100513,0085392300240,17,8,2.79,2.79
66000625,0085003820602,57,1,4.00,4.00
61500054,0001111004821,2,8,8.99,8.99
70100225,0001410008598,75,1,4.29,4.29
62000045,0084013430078,73,2,8.99,8.99
61500089,0001111026810,40,1,5.00,5.00
70300723,0004242150009,10,1,6.99,6.99
61500040,0081590902144,17,1,1.99,1.99
70100153,0023544320000,56,1,6.43,6.43
70100285,0003663204040,5,5,1.49,1.49
03500456,0082676614915,56,1,5.00,5.00
03500381,0001111001818,57,5,2.49,2.49
53100538,0021643620000,10,1,14.20,14.20
02500435,0003022311643,55,1,7.99,7.99
70600158,0003077203680,80,1,23.99,23.99
53400178,0021643620000,10,1,14.11,14.11
53100526,0009253800233,57,3,6.99,6.99
70600357,0002840070006,60,23,3.39,3.39
02100982,0001111039401,56,2,10.99,10.99
70300105,0001111062565,40,1,14.99,14.99
70300648,0001111001813,57,2,1.99,1.99
03400128,0002410044087,60,1,6.49,6.49
70600399,0066062812604,57,1,3.49,3.49
02600845,0001111064592,40,1,3.00,3.00
62000408,0023710790000,56,1,4.59,4.59
09000249,0001111037110,71,2,2.99,2.99
70600485,0084013430793,10,2,6.99,6.99
62000445,0003022311607,56,1,5.00,5.00
66000107,0089520300126,57,1,3.99,3.99
70400774,0003022304206,57,3,2.69,4.39
70100028,0001111063105,57,5,3.99,3.99
66000120,0078279600094,56,1,3.49,3.49
70100186,0005000041735,2,10,4.49,4.49
03500566,0001204403245,88,1,13.99,13.99
70400386,0001111062295,69,1,5.00,5.00
70100196,0003022304225,57,1,4.59,4.59
62000130,0081009685383,84,2,25.64,39.99
70100011,0001111091661,57,10,6.49,6.49
70500827,0061266961086,9,4,8.99,8.99
61500003,0001111063065,57,1,3.33,3.33
61500089,0022575090000,15,1,3.59,
62000442,0001111001813,57,2,2.50,2.50
70300015,0001111063460,9,1,9.99,9.99
70100153,0021105500000,56,1,2.74,2.74
70500808,0001111097190,71,8,8.49,8.49
61500050,0007007468161,67,5,12.99,12.99
62000412,0933188002266,16,1,12.79,12.79
03500451,0066354250497,84,2,5.99,5.99
02400084,0078735917171,7,3,2.50,2.50
70300727,0004082234582,10,10,3.49,3.49
70100375,0064420900932,1,8,4.34,4.34
70400376,0001111063336,71,1,17.99,17.99
62000117,0078142102485,40,2,4.99,4.99
70100391,0003952890134,10,2,6.00,6.00
62000077,0001111061810,9,4,5.00,5.00
66000116,0002113150693,45,1,3.79,3.79
53400846,0022736320000,56,1,3.99,3.99
70100163,0001111013251,75,1,2.99,2.99
03400354,0007255494573,45,1,5.99,5.99
53400329,0003663202494,5,10,1.49,1.49
02600582,0001111062314,69,1,7.00,7.00
61500012,0082676614912,56,1,4.99,4.99
09000274,0001111091128,57,10,2.19,2.19
02600508,0088342601787,40,1,5.99,5.99
70300139,0001111009585,75,3,2.99,2.99
70600311,0007143000964,57,4,3.89,3.89
70600048,0001111091472,57,1,2.29,2.29
62000098,0004157309216,40,2,4.99,4.99
61500033,0004157353325,73,1,7.99,7.99
70300721,0003700074084,3,1,20.49,20.49
61500033,0027720110000,73,1,2.97,2.97
70400777,0007248600220,1,1,0.69,0.69
53400389,0026662030000,73,1,2.15,2.15
70500808,0025446370000,56,1,4.47,4.47
66000036,0003022311228,57,1,3.59,3.59
70500894,0001111060670,40,3,4.49,4.49
62000408,0025717930000,56,1,5.67,5.67
70500808,0027557730000,56,1,5.99,5.99
02500386,0001111003321,10,6,8.49,8.49
70400370,0001111091053,57,2,2.99,2.99
70300175,0004242161660,56,1,7.99,7.99
03500879,0001111091011,57,5,1.79,1.79
02400380,0001111096972,9,2,5.99,5.99
70400365,0081738702345,84,1,3.17,4.99
02500614,0001111091126,57,4,3.49,3.49
03400346,0028762520000,73,1,5.75,5.75
70300686,0001111062457,57,4,2.99,2.99
66000109,0001111050582,5,1,4.19,4.19
70600450,0081861702273,7,3,10.99,10.99
70600341,0001111086990,1,5,2.49,2.49
70600133,0002700041901,1,1,1.00,1.00
70600093,0084013431087,73,2,18.99,18.99
