ITEMID,BARCODE,STOREID,ORIGINAL_PRICE,CURRENT_PRICE,QTY_MARKDOWN,QTY_ON_HAND
2658,5019312674187,171,3.59,3.23,42,1
2666,5000128841689,325,3.59,3.23,43,1
2667,9770962318079,66,3.59,3.23,54,1
2682,8001090544070,394,3.59,3.23,63,1
2682,7613033492754,316,3.59,3.23,65,1
2690,5060040111178,104,3.59,3.23,42,1
2690,5000128627818,345,3.59,3.23,43,1
2704,5029775031045,70,3.59,3.23,42,1
2712,8000580204906,171,3.59,3.23,42,1
2720,5000128771115,325,3.59,3.23,43,1
2720,5000128632744,76,3.59,3.23,44,1
2747,5000128802932,246,3.59,3.23,48,1
2747,8001090729484,66,3.59,3.23,54,1
2755,5000128948548,85,3.59,3.23,55,1
2756,9770141055948,75,3.59,3.23,59,1
2761,9771469043990,394,3.59,3.23,63,1
2763,8001090602022,316,3.59,3.23,65,1
2771,5060040111130,104,3.59,3.23,42,1
2771,4008577082517,345,3.59,3.23,43,1
2801,5017840004063,76,3.59,3.23,44,1
2801,5000128871686,246,3.59,3.23,48,1
2828,5027456004098,66,3.59,3.23,54,1
2828,5010338200060,85,3.59,3.23,55,1
2836,5029775012204,75,3.59,3.23,59,1
2836,240134000006,394,3.59,3.23,63,1
2844,5027456004104,316,3.59,3.23,65,1
2844,5000128662826,104,3.59,3.23,42,1
2852,295050000005,345,3.59,3.23,43,1
2852,5000404216965,70,3.59,3.23,42,1
2860,8712561156967,171,3.59,3.23,42,1
2860,5019312896473,325,3.59,3.23,43,1
2879,5000128546751,76,3.59,3.23,44,1
2887,5000149020049,246,3.59,3.23,48,1
2895,5000128801904,66,3.59,3.23,54,1
2909,5000128496117,85,3.59,3.23,55,1
2911,9771366777530,75,3.59,3.23,59,1
2917,5900300056101,394,3.59,3.23,63,1
2917,5010333004052,316,3.59,3.23,65,1
2925,5012883004315,104,3.59,3.23,42,1
2933,5030323007108,345,3.59,3.23,43,1
2933,8001090733504,171,3.59,3.23,42,1
2941,224840000000,325,3.59,3.23,43,1
2941,7393714516909,76,3.59,3.23,44,1
2968,7613033528842,246,3.59,3.23,48,1
2976,5000128910330,66,3.59,3.23,54,1
2984,5000116104932,85,3.59,3.23,55,1
2992,5900300349395,171,3.59,3.23,42,1
2992,5010271104913,325,3.59,3.23,43,1
3018,5010666002404,66,3.59,3.23,54,1
3026,4028159012473,394,3.59,3.23,63,1
3034,5034660521716,316,3.59,3.23,65,1
3042,5000128646390,104,3.59,3.23,42,1
3042,8000920304006,345,3.59,3.23,43,1
3050,4025500189570,70,3.59,3.23,42,1
